6/216/9|Community|CP
6/219/8|Community|
6/305/7|Community|CL
7/197/8|Twarmboe/Thaui/837951602|
7/199/7|Twarmboe/837951602|
7/304/6|Community|
8/173/9|Haxton/837951602|
8/196/7|Twarmboe/Thaui|
8/198/6|Twarmboe|
9/148/9|hersmunch|
9/171/7|Haxton|
10/139/9|Community|
10/140/8|Community|
10/150/7|Community|
10/160/6|Community|
10/199/5|Community|LC
11/135/14|hersmunch|
11/138/11|hersmunch|
11/159/5|837951602|LP
12/126/14|hersmunch|
12/129/12|hersmunch|
13/117/13|837951602|PC,PL
13/120/12|837951602|
